zip_code,item_id,item_name,state,base_price,total_price,addition,multiplier
30142,7821,Miscellaneous Yard Equipment,GA,59.00,79.00,20.00,1.3390
30135,7761,Sandbox - Wooden,GA,59.00,104.00,45.00,1.7627
30366,8065,Paint - 1 Gallon Paint Can,GA,59.00,75.00,16.00,1.2712
30215,7851,"Thor 36"" Rangetop",GA,59.00,75.00,16.00,1.2712
30342,7376,Satellite Dish - Small,GA,59.00,109.00,50.00,1.8475
30063,7794,"48"" Rangetop",GA,59.00,75.00,16.00,1.2712
30284,7404,Air Conditioner - Window Unit,GA,175.00,200.00,25.00,1.1429
30223,7320,Swing(s),GA,59.00,109.00,50.00,1.8475
30343,7618,Bunky Boards,GA,59.00,75.00,16.00,1.2712
30214,7985,Combo Dresser,GA,59.00,119.00,60.00,2.0169
30342,7336,Moving fee (within 15 miles),GA,59.00,124.00,65.00,2.1017
30007,7834,3 Car Garage Cleanout,GA,59.00,1159.00,1100.00,19.6441
30080,7351,ATV,GA,59.00,359.00,300.00,6.0847
30134,7327,Outdoor Furniture - Sectional,GA,59.00,234.00,175.00,3.9661
30230,7419,Generator - Portable,GA,175.00,250.00,75.00,1.4286
30339,7753,Highchair,GA,59.00,79.00,20.00,1.3390
30310,7760,Sandbox - Plastic,GA,59.00,84.00,25.00,1.4237
30230,7793,Mattress,GA,175.00,205.00,30.00,1.1714
30137,7331,Home Gym,GA,59.00,259.00,200.00,4.3898
30045,7953,Bedframe with Drawers,GA,59.00,109.00,50.00,1.8475
30031,7765,Trampoline - Medium - Assembly,GA,59.00,75.00,16.00,1.2712
30009,7398,Toaster Oven,GA,59.00,75.00,16.00,1.2712
30140,8067,30 Inch Tilt Panel Electric Range,GA,59.00,75.00,16.00,1.2712
30149,7758,Power Ride On Toy,GA,74.00,174.00,100.00,2.3514
30109,7394,Steamer,GA,59.00,75.00,16.00,1.2712
30375,7756,Playset - Indoor,GA,59.00,99.00,40.00,1.6780
30172,8003,Vending Machine,GA,74.00,349.00,275.00,4.7162
30085,7380,Luggage,GA,59.00,79.00,20.00,1.3390
30182,7957,Box Spring - King/Cal King,GA,175.00,205.00,30.00,1.1714
30157,7584,Massage Chair,GA,59.00,159.00,100.00,2.6949
30362,7570,Freezer,GA,59.00,114.00,55.00,1.9322
30030,7602,Propane Tank - 120 Gallon,GA,59.00,259.00,200.00,4.3898
30316,7336,Moving fee (within 15 miles),GA,59.00,124.00,65.00,2.1017
30071,7950,Bed Base/Foundation - Queen,GA,59.00,94.00,35.00,1.5932
30234,7740,Bookshelf,GA,69.00,99.00,30.00,1.4348
30317,7621,Headboard,GA,59.00,75.00,16.00,1.2712
30237,7784,Mattress Coil Set,GA,59.00,99.00,40.00,1.6780
30102,7717,WheelChair - non motorized,GA,59.00,79.00,20.00,1.3390
30261,7972,Sectional Sofa - 3 pieces,GA,175.00,250.00,75.00,1.4286
30105,7947,Mattress - Queen,GA,175.00,210.00,35.00,1.2000
30142,7549,Refrigerator - Commercial Size,GA,59.00,509.00,450.00,8.6271
30129,7561,Table - Dining,GA,74.00,114.00,40.00,1.5405
30021,7327,Outdoor Furniture - Sectional,GA,59.00,234.00,175.00,3.9661
30121,7340,Chandelier - Large,GA,59.00,109.00,50.00,1.8475
30069,7972,Sectional Sofa - 3 pieces,GA,59.00,134.00,75.00,2.2712
30260,7931,Misc. Small Unlisted Item,GA,59.00,94.00,35.00,1.5932
30085,7527,Junk Pile - Large,GA,59.00,659.00,600.00,11.1695
30326,7307,Cat Tree,GA,59.00,89.00,30.00,1.5085
30328,7742,Chaise Lounge,GA,59.00,94.00,35.00,1.5932
30145,7313,Lamp,GA,175.00,190.00,15.00,1.0857
30122,7636,Cubicle,GA,59.00,149.00,90.00,2.5254
30074,7389,Scale,GA,59.00,75.00,16.00,1.2712
30033,7607,Oven - Double Wall Oven,GA,59.00,139.00,80.00,2.3559
30087,7562,Table - Conference Room Table,GA,59.00,134.00,75.00,2.2712
30086,7637,Podium,GA,59.00,79.00,20.00,1.3390
30117,7631,Desk,GA,59.00,89.00,30.00,1.5085
30066,7968,Futon,GA,59.00,109.00,50.00,1.8475
30268,7976,Desk - U Shaped,GA,59.00,94.00,35.00,1.5932
30114,7630,Bed Foundation,GA,59.00,89.00,30.00,1.5085
30124,7638,Hutch,GA,175.00,210.00,35.00,1.2000
30084,7446,Bag of Junk,GA,59.00,84.00,25.00,1.4237
30091,7760,Sandbox - Plastic,GA,59.00,84.00,25.00,1.4237
30031,8011,Safe - Large,GA,59.00,659.00,600.00,11.1695
30369,7772,Beanbag - Standard size,GA,59.00,75.00,16.00,1.2712
30029,7639,Salon Chair,GA,59.00,99.00,40.00,1.6780
30018,7398,Toaster Oven,GA,59.00,75.00,16.00,1.2712
30035,7833,1 Car Garage Cleanout,GA,59.00,559.00,500.00,9.4746
30041,7887,Aquarium - small,GA,59.00,89.00,30.00,1.5085
30178,7576,Carpet,GA,59.00,84.00,25.00,1.4237
30075,7383,Outdoor Furniture,GA,59.00,89.00,30.00,1.5085
30069,7584,Massage Chair,GA,59.00,159.00,100.00,2.6949
30121,7762,Toolbox - Freestanding,GA,59.00,89.00,30.00,1.5085
30333,7394,Steamer,GA,59.00,75.00,16.00,1.2712
30060,7399,Toilet,GA,59.00,94.00,35.00,1.5932
30342,7844,Poker Table,GA,59.00,75.00,16.00,1.2712
30015,7284,Mattress Topper,GA,59.00,79.00,20.00,1.3390
30214,7292,Baby Car Seat,GA,59.00,75.00,16.00,1.2712
30206,7783,Box Spring,GA,175.00,190.00,15.00,1.0857
30090,7397,Stroller,GA,59.00,79.00,20.00,1.3390
30324,7619,Bunkbed,GA,59.00,184.00,125.00,3.1186
30361,7742,Chaise Lounge,GA,59.00,94.00,35.00,1.5932
30022,7657,Weight Machine,GA,59.00,159.00,100.00,2.6949
30122,7303,Play Pen,GA,59.00,79.00,20.00,1.3390
30016,7834,3 Car Garage Cleanout,GA,59.00,1159.00,1100.00,19.6441
30333,8053,GDM-33 Mini,GA,59.00,309.00,250.00,5.2373
30238,7441,Recliner,GA,59.00,114.00,55.00,1.9322
30285,7749,Storage Shed,GA,175.00,1675.00,1500.00,9.5714
30173,7953,Bedframe with Drawers,GA,74.00,124.00,50.00,1.6757
30272,7557,Entertainment Center - Small,GA,59.00,89.00,30.00,1.5085
30161,7356,Miscellaneous Small Exercise Equipment,GA,74.00,94.00,20.00,1.2703
30218,8001,Refrigerator - Residential Standard,GA,175.00,235.00,60.00,1.3429
30125,7771,Ironing Board,GA,175.00,190.00,15.00,1.0857
30093,7832,2 Car Garage Cleanout,GA,59.00,859.00,800.00,14.5593
30187,7582,Office Chair,GA,59.00,84.00,25.00,1.4237
30069,7893,"Thor 30"" Drawer Microwave",GA,59.00,75.00,16.00,1.2712
30113,7719,Ottoman,GA,59.00,84.00,25.00,1.4237
30049,7472,Custom Job - XS,GA,59.00,79.00,20.00,1.3390
30357,7818,Treadmill - Commercial,GA,59.00,259.00,200.00,4.3898
30361,7784,Mattress Coil Set,GA,59.00,99.00,40.00,1.6780
30014,7737,Artificial Christmas Tree (10ft or less),GA,59.00,89.00,30.00,1.5085
