State,County,City,Neighborhood,ZipCode
GA,"Cobb","Marietta",,"30006"
GA,"Cobb","Marietta",,"30007"
GA,"Cobb","Marietta",,"30008"
GA,"Cobb","Marietta",,"30060"
GA,"Cobb","Marietta",,"30061"
GA,"Cobb","Marietta",,"30062"
GA,"Cobb","Marietta",,"30063"
GA,"Cobb","Marietta",,"30064"
GA,"Cobb","Marietta",,"30065"
GA,"Cobb","Marietta",,"30066"
GA,"Cobb","Marietta",,"30067"
GA,"Cobb","Marietta",,"30068"
GA,"Cobb","Marietta",,"30069"
GA,"Cobb","Marietta",,"30090"
GA,"Cobb","Kennesaw",,"30144"
GA,"Cobb","Kennesaw",,"30152"
GA,"Cobb","Kennesaw",,"30156"
GA,"Cobb","Kennesaw",,"30160"
